Timestamp;Temperature1;Temperature2;Temperature3;Luminance1;Luminance2;Luminance3
1673796123.8003514;387;385;384;244;864;858
1673796153.8007936;356;354;353;199;870;865
1673796183.8034456;362;360;359;196;903;899
1673796213.8201168;356;354;353;200;867;866
1673796243.81716;361;359;357;203;879;877
1673796273.8322253;358;356;354;205;858;857
1673796303.83316;361;359;357;207;864;863
1673796333.8453913;364;361;360;210;859;859
1673796363.8501534;357;355;354;201;865;864
1673796393.843745;364;362;361;212;857;858
1673796423.8584323;344;342;341;190;843;844
1673796453.8555024;356;354;353;209;838;841
1673796483.8618152;363;361;360;219;830;833
1673796513.8765407;352;350;349;208;823;823
1673796543.8803897;355;353;352;215;817;814
1673796573.8861074;354;352;350;213;817;814
1673796603.8894622;355;353;352;213;824;822
1673796633.8934164;357;355;354;214;824;823
1673796663.8961833;356;354;352;213;825;824
1673796693.8935766;359;357;355;217;825;820
1673796723.9080477;355;353;351;213;824;816
1673796753.9048793;355;353;352;217;817;807
1673796783.9116263;353;351;350;215;816;804
1673796813.914565;353;351;350;215;815;805
1673796843.9125447;352;350;348;213;814;803
1673796873.9295173;352;349;349;214;813;801
1673796903.93719;352;350;349;215;810;799
1673796933.934886;353;352;350;215;812;803
1673796963.9401386;372;370;369;239;812;805
1673796993.9449995;356;354;353;214;828;821
1673797023.9474037;356;353;352;206;848;843
1673797053.9578223;363;361;360;214;852;848
1673797083.9584239;365;363;362;216;857;855
1673797113.9645846;365;363;361;213;866;865
1673797143.968183;366;364;363;213;871;871
1673797173.9766185;376;375;373;226;870;869
1673797203.977053;367;365;363;215;866;864
1673797233.9805417;364;362;360;210;866;863
1673797263.9771128;364;362;361;211;873;867
1673797293.9908118;371;369;367;212;899;893
1673797324.000001;376;374;372;217;903;897
1673797354.0013149;355;353;351;210;833;828
1673797383.99846;357;355;353;210;831;824
1673797414.0131752;362;360;359;216;840;828
1673797444.019437;382;380;378;212;934;927
1673797474.023387;382;380;379;215;927;919
1673797504.0189488;353;351;350;208;835;819
1673797534.0301428;381;379;378;213;932;924
1673797564.0341244;354;352;351;211;832;817
1673797594.0331218;359;357;356;210;860;845
1673797624.0484445;362;360;359;196;913;902
1673797654.0469887;377;375;374;207;935;927
1673797684.0581279;377;375;373;210;929;920
1673797714.0649607;378;376;375;209;935;927
1673797744.0599828;374;372;371;208;923;914
1673797774.0723345;376;374;372;207;932;925
1673797804.0669117;374;372;370;203;936;928
1673797834.077916;375;373;371;204;937;930
1673797864.0900078;373;371;370;201;939;931
1673797894.0957992;392;389;388;221;942;933
1673797924.103069;374;372;370;199;940;931
1673797954.1033878;374;372;370;199;937;929
1673797984.1137877;372;370;369;197;937;927
1673798014.1126387;368;366;364;200;906;908
1673798044.1231816;368;366;364;197;921;910
1673798074.1254854;370;367;366;200;920;908
1673798104.1380458;357;355;353;195;891;874
1673798134.14657;370;368;367;199;930;919
1673798164.1413352;353;351;349;176;934;923
1673798194.1470985;357;355;354;180;939;926
1673798224.161914;371;369;367;198;938;926
1673798254.1604328;369;367;365;196;939;926
1673798284.1746993;370;367;366;196;938;926
1673798314.1841168;342;340;339;163;936;925
1673798344.1875687;353;350;348;178;931;920
1673798374.18945;369;366;365;196;938;926
1673798404.2019706;353;350;349;195;888;867
1673798434.2059267;345;343;342;195;857;835
1673798464.2157683;287;285;284;127;829;805
1673798494.2200086;345;343;341;202;831;806
1673798524.2307215;342;339;338;198;832;807
1673798554.237335;336;332;333;188;835;811
1673798584.2335641;312;310;309;164;811;791
1673798614.2402291;345;343;342;209;804;789
1673798644.2443826;343;341;339;205;802;789
1673798674.254253;348;344;345;207;819;804
1673798704.2586787;349;347;346;209;813;803
1673798734.2590754;362;360;359;229;802;799
1673798764.2726135;358;355;354;223;798;795
1673798794.2719085;361;360;358;230;794;790
1673798824.2781246;343;340;339;207;790;787
1673798854.2779133;357;353;351;231;787;784
1673798884.2882352;344;342;341;210;788;784
1673798914.2939253;385;383;381;262;786;780
1673798944.2970738;357;355;354;230;784;777
1673798974.2963648;349;347;345;219;781;773
1673799004.305292;352;351;349;222;780;774
1673799034.311039;346;343;342;215;776;773
