Luminance,Temperature
504,34
504,30
504,35
504,34
504,34
504,34
504,34
504,34
505,34
505,33
505,34
506,34
506,33
506,35
506,35
506,34
506,34
505,34
505,34
505,34
504,34
504,35
504,34
504,34
503,34
503,34
503,33
503,34
503,34
503,34
503,35
503,34
503,35
504,34
504,33
504,35
505,35
505,34
505,33
505,33
505,33
505,34
506,33
506,34
505,34
505,34
505,34
505,34
504,35
504,35
504,34
504,33
503,33
503,35
503,33
504,35
504,34
504,35
504,34
504,34
504,34
505,34
505,34
505,33
505,34
506,35
506,34
506,33
506,33
506,34
506,34
506,35
506,34
506,34
505,34
505,34
505,35
505,34
504,33
504,34
504,35
504,33
504,34
504,33
504,34
504,34
504,34
504,35
504,35
504,35
505,35
505,35
505,31
505,34
506,34
506,35
506,34
506,34
506,35
506,34
506,34
506,34
506,34
505,34
505,34
505,34
504,33
504,34
504,33
504,33
504,33
504,34
504,33
504,34
503,34
503,35
504,34
504,34
504,34
504,34
504,34
504,34
505,33
505,35
505,33
505,34
506,35
505,33
506,34
505,34
505,34
505,34
505,34
505,33
505,33
504,34
504,33
504,33
504,33
503,33
503,33
503,35
503,34
503,33
502,33
502,33
502,33
502,35
501,34
490,33
484,34
494,34
503,34
504,33
505,34
505,35
505,34
505,34
505,34
504,33
504,34
503,34
503,34
503,35
502,34
498,34
442,32
446,32
467,32
472,33
471,33
468,32
464,32
470,33
477,32
475,33
483,33
486,34
492,33
487,33
480,34
468,33
446,32
443,32
441,32
425,32
414,32
401,32
386,32
380,32
371,32
363,33
357,33
353,33
351,33
358,33
363,33
368,33
369,33
373,32
376,32
377,32
377,33
398,32
403,32
396,32
392,32
394,34
397,32
400,32
408,31
422,31
442,32
462,32
473,33
477,33
478,33
479,33
479,33
476,34
474,33
472,33
474,33
476,33
478,33
476,33
475,33
474,33
466,33
460,32
445,32
430,31
446,32
468,33
475,33
473,32
453,32
419,32
415,32
442,31
482,33
490,34
488,33
490,33
490,33
497,34
501,33
501,34
499,34
495,34
477,33
464,32
447,32
439,31
461,32
464,32
465,33
465,33
460,32
457,32
440,31
419,31
411,32
423,32
427,31
433,32
448,32
465,32
473,32
487,33
497,33
500,33
502,34
502,34
502,33
500,33
500,34
501,33
501,33
501,34
501,34
501,33
500,33
498,33
499,34
498,33
497,33
495,33
493,34
489,33
495,34
490,34
480,33
479,32
481,33
485,33
488,33
491,33
494,34
498,34
502,34
504,33
504,34
504,34
503,34
502,34
502,35
498,34
503,34
503,34
503,34
504,34
504,34
504,34
504,34
507,34
507,34
507,33
507,34
507,34
507,34
507,34
507,30
507,35
507,34
507,34
508,33
507,34
506,35
504,34
503,34
504,34
501,34
503,34
497,34
495,34
475,32
464,32
458,32
455,32
460,32
472,33
473,32
469,32
460,32
474,33
534,35
506,34
537,36
693,44
772,48
757,45
710,44
781,49
830,51
817,49
810,47
645,42
533,34
508,34
503,34
492,34
502,33
553,36
550,36
595,39
635,40
582,39
595,39
590,39
580,36
561,38
560,37
569,37
560,36
597,37
694,42
692,43
627,39
716,44
740,44
726,43
710,44
705,44
693,42
676,42
664,40
666,41
672,42
670,42
671,42
672,42
682,42
697,43
742,44
729,44
730,45
724,45
687,44
648,42
573,39
439,38
363,42
302,45
299,45
299,46
301,46
303,45
324,44
479,38
627,41
658,42
662,42
615,37
379,42
292,47
271,47
273,47
292,46
345,44
676,42
658,41
667,42
670,43
671,42
672,42
675,43
679,43
686,43
681,44
652,42
612,40
540,39
263,48
250,48
246,49
241,51
223,51
215,51
212,52
212,51
215,51
223,51
228,51
401,44
441,42
402,41
437,40
442,39
432,40
424,40
400,42
466,39
481,38
484,39
485,39
485,39
485,39
485,39
485,39
486,39
486,39
486,39
486,39
486,39
486,39
486,39
486,39
486,39
486,39
485,39
485,39
485,39
485,39
484,39
484,39
484,40
484,40
484,39
484,39
484,39
484,40
484,39
484,39
484,39
484,39
485,40
490,39
375,45
160,50
119,50
146,50
140,50
161,50
146,50
139,50
133,49
129,50
126,50
123,50
